label,GAERS,GAERS,GAERS,GAERS,GAERS,GAERS,GAERS,GAERS,NEC,NEC,NEC,NEC,NEC,NEC
name,PCE_101_GAERS_590_Cortex,PCE_102_GAERS_628_Cortex,PCE_103_GAERS_614_Cortex,PCE_104_GAERS_629_Cortex,PCE_105_GAERS_630_Cortex,PCE_106_GAERS_602_Cortex,PCE_128_GAERS_625_Cortex,PCE_130_GAERS_601_Cortex,PCE_107_NEC_601_Cortex,PCE_108_NEC_687_Cortex,PCE_109_NEC_602_Cortex,PCE_110_NEC_603_Cortex,PCE_111_NEC_688_Cortex,PCE_112_NEC_604_Cortex
C13H25NO3,1625433,1711504,1323810,1061633,1332016,1003640,3662250,2809801,1895555,713266,1031094,2539588,1395881,1453134
C21H36N7O16P3S,2998017,5011577,1698032,4540684,5477600,5444033,4030379,2528713,3389435,2968670,2530570,2629141,3124243,4929454
C9H13NO7,754464,801258,692312,798832,611061,628966,974360,714442,698499,879150,668881,507370,561761,766092
C6H14NO8P,187763,341337,189969,311151,500168,369729,361005,223987,269474,497863,187974,173309,273862,346680
C10H17N3O6S,61663140,68693064,50386524,59471276,68733360,58795872,60254640,57638984,57766392,67694720,51883152,52011120,51388636,67305288
C10H17N3O6S - 1A,2630070,2909070,2434947,2682884,2762616,2841849,2397117,2650581,2550139,2910098,2292453,2081709,2569186,2714950
C15H30N4O5,59941,44851,36957,60568,42777,37807,37797,40288,24600,51218,25446,20045,22494,57678
C18H38NO5P,854376,1220581,728845,800187,1382825,1212487,656083,665992,836863,1157478,722521,575943,1218522,1263012
C15H22N6O5S,1071554,995084,1271614,1053178,1379866,978534,777598,1009535,859911,1026611,1173338,1145877,1191740,961850
C21H44NO6P,324395,418990,445196,642639,480471,418369,452791,477431,472114,463023,274424,436236,704293,426983
C14H26N4O10P2,445899,474371,325602,436254,387773,318638,334880,456554,305926,359595,226724,238162,233330,399598
C24H46NO9P,633980,684600,501936,1126309,963424,698837,828006,767703,662860,856223,498521,596525,932130,837004
C28H44NO9P,2533742,2467899,1676120,3140407,2819256,1949116,2800982,3005977,2227945,2467391,1990987,1849467,2044414,2925717
C25H49O12P,438896,416334,241551,487742,434899,312113,468489,487983,378432,436444,406322,339524,361717,451749
C26H52NO8P,2116405,2171532,2598012,3455227,2157877,2139851,2863903,2675699,2348060,2812594,1881630,2293611,2886912,3095026
C27H51O12P,87850,101474,53280,110116,127009,66708,95092,67256,96352,113041,110291,92404,44647,107541
C32H58N2O7S,1205835,1624313,2809241,3010146,1547122,1675376,2681949,1708022,2718680,2530359,4443466,4445451,2628543,2499756
C29H49O12P,196857,277062,128998,316532,360970,184968,275038,145681,191208,190755,317907,291034,160151,260115
C44H88NO6P,596138,436321,581465,449029,448869,443743,517684,595870,588772,468789,512965,441143,576266,564488
C48H91NO8,2501597,3059840,1962442,4075004,3743043,3060870,2841320,2444226,2946901,2048282,2344789,3166694,2549602,3641235
C48H93NO8,754058,996253,437694,1139056,968356,912495,785915,660393,810260,545915,341288,780366,432397,541747
C47H96N2O6P,942937,1238946,569402,1224528,1276696,1494620,1049439,813048,1107639,1473159,436270,884796,673995,939046
C4H4O2,356132,438935,287601,388466,496144,372039,384904,461931,449970,603219,290491,405694,420387,568731
C3H5NO2 - 1A,198533,217906,200464,213734,210988,231669,190098,208825,202230,190725,210219,215911,189336,212499
C5H13N,376292,368436,456562,376260,498993,600627,514705,420386,444618,466269,405058,425243,556786,411008
C3H4O3,103623,102236,88550,78313,76562,80195,86025,108630,84764,97404,68079,61729,81967,79504
C3H4O3 - 1A,77452,75910,87205,96093,78129,81369,71653,77465,83740,104354,68715,69141,68422,84552
C3H7NO2,13747391,13258988,11229514,13702730,13251228,12501245,12382369,12124554,11914629,14751863,10355375,10546583,10684971,13330507
C3H7NO2 - 1A,87114,84186,86611,107902,116192,119398,81040,92772,97252,89011,97331,105720,107904,113131
C3H6O3,42490728,43276168,35076452,34263472,36354584,32820882,43576472,43174640,32139500,37983300,28198540,29921404,32212336,38510088
C3H8O3,382118,347260,344713,360969,338516,321327,385665,371941,273883,375584,238061,229015,239138,299458
H2O4S,348348,447324,374261,254832,373032,328285,277980,405657,436376,386524,251379,546987,244167,316018
C3H4N2O,313230,284386,275277,248952,265419,261842,216863,294430,335565,286944,214505,246111,261987,287814
C4H6O3,234988,241017,220932,180388,196862,171414,225049,225883,219488,246563,179637,181856,180811,208523
C3H6N2O2,187418,191394,186187,184610,213654,209217,180828,176106,199428,163445,188633,205301,206612,193509
C5H10O2,553359,692821,690199,636935,624817,654843,568939,604839,719895,614583,613538,567174,687237,481837
C5H10O2 - 1A,819925,729984,992319,1035910,751076,121099,907823,812557,939968,1178754,1195699,1078783,782446,735397
C5H10O2 - 2B,142210,133351,180870,144613,107835,115642,107725,144357,97090,168261,132815,128393,114604,118689
C4H9NO2,336845024,330348896,264846704,289214400,310498784,263467888,268585920,305877248,277415936,310306400,240017520,204875312,282512576,268099920
C5H13NO,68434816,50260948,49103472,50958668,53103872,34570784,63847864,44991996,46869932,64574720,28884888,28887558,22025672,35889660
C4H8O3,142138,90831,69581,56963,100245,63736,81557,89314,87506,88441,60940,70252,81690,79586
C4H8O3 - 1A,299531,200047,165962,174508,193666,139929,198227,227473,173382,134597,150908,134983,201806,169080
C3H7NO3,10905267,10656390,9102619,10423516,8206039,7992342,8623771,10110392,12132940,13048808,7256904,8453964,9495429,11741812
C4H11NO2,181767,115122,129090,295313,237719,140014,240388,167402,246128,155168,313891,633982,195968,335123
C3H6O4,56583,102093,92422,54858,76321,52423,64980,89890,49722,86515,38308,53780,65966,61129
C2H7NO2S,277514,531783,247921,498932,253370,355704,243859,674348,739691,781754,551036,694064,892241,1010374
C5H7N3,97683,112215,109132,138314,170508,138261,105684,111442,118870,123283,142671,105469,124428,118084
CH4O4S,543727,546185,509233,513281,455998,486124,574850,547730,462015,537782,529789,595372,504476,542147
CH5O4P,210515,96362,347952,124603,85290,79649,97745,122711,35098,175946,55640,68240,35064,86625
C4H4N2O2 - 1A,1559379,1339784,1247197,1486961,1242701,1062870,1414363,1653010,1099440,1519671,996955,986663,921952,1171697
C5H7NO2,84606,104083,70246,99628,71809,72502,95097,90420,77262,107899,39322,74649,95855,79943
C4H7N3O,44015952,52137968,35634236,44653544,45848744,34225468,38007984,37154312,32983316,48350528,29703780,28370146,37299684,39245072
C5H6O3,62541,79473,104826,56323,60593,104870,45530,117571,48099,87104,83163,84948,63979,82099
C4H6N2O2 - 1A,932666,1037289,971811,1072797,1017635,1069514,856810,922459,864506,941313,994585,932350,926972,1059907
